"","genes","cluster"
"YDR034W.B","YDR034W.B",1
"YDR077W","YDR077W",1
"YDR326C","YDR326C",2
"YDL241W","YDL241W",3
"YDR133C","YDR133C",3
"YDR403W","YDR403W",4
"YDL174C","YDL174C",4
"YDL055C","YDL055C",4
"YDL177C","YDL177C",4
"YOL154W","YOL154W",3
"YOR115C","YOR115C",4
"YOR389W","YOR389W",4
"YOR274W","YOR274W",1
"YOR092W","YOR092W",2
"YOR248W","YOR248W",4
"YOL019W","YOL019W",4
"YOR382W","YOR382W",2
"YOR107W","YOR107W",4
"YOL155C","YOL155C",4
"YOL085W.A","YOL085W.A",3
"YOL158C","YOL158C",5
"YOR226C","YOR226C",3
"YOL104C","YOL104C",3
"YOL007C","YOL007C",4
"tP.UGG.O3","tP.UGG.O3",4
"YOL146W","YOL146W",4
"YOR049C","YOR049C",3
"YOR383C","YOR383C",2
"YOR374W","YOR374W",6
"YOR247W","YOR247W",4
"YOL126C","YOL126C",3
"YOR136W","YOR136W",3
"YGR248W","YGR248W",6
"YGR032W","YGR032W",4
"YGL024W","YGL024W",3
"tV.AAC.G3","tV.AAC.G3",4
"YGL009C","YGL009C",3
"YGR153W","YGR153W",4
"YGL089C","YGL089C",3
"YGL259W","YGL259W",3
"YGR138C","YGR138C",4
"YGR035C","YGR035C",6
"YGR144W","YGR144W",4
"YGR213C","YGR213C",1
"YGR189C","YGR189C",4
"YGR234W","YGR234W",3
"YGL032C","YGL032C",3
"YLR054C","YLR054C",1
"YLR342W","YLR342W",4
"YLR304C","YLR304C",6
"YLR214W","YLR214W",4
"YLR414C","YLR414C",4
"YLR343W","YLR343W",4
"ITS2.1","ITS2.1",6
"YLR267W","YLR267W",6
"YLR104W","YLR104W",1
"YLR415C","YLR415C",4
"YLL018C.A","YLL018C.A",6
"YLR438W","YLR438W",6
"YLR194C","YLR194C",4
"YLR109W","YLR109W",6
"YLR121C","YLR121C",4
"YLR452C","YLR452C",3
"YLR329W","YLR329W",4
"YLR258W","YLR258W",6
"YLR257W","YLR257W",6
"YLR461W","YLR461W",5
"YLR132C","YLR132C",6
"YLR107W","YLR107W",4
"YPR156C","YPR156C",4
"YPL111W","YPL111W",6
"YPL163C","YPL163C",4
"YPL088W","YPL088W",4
"YPL004C","YPL004C",6
"YPR157W","YPR157W",2
"YPL052W","YPL052W",1
"YPL280W","YPL280W",4
"YPL149W","YPL149W",4
"YPR195C","YPR195C",4
"YPR159W","YPR159W",4
"YPR035W","YPR035W",3
"YPR077C","YPR077C",4
"YPL024W","YPL024W",4
"YPL277C","YPL277C",4
"YPL221W","YPL221W",4
"YPL113C","YPL113C",6
"YPL247C","YPL247C",6
"YPL256C","YPL256C",4
"YPR145C.A","YPR145C.A",4
"YPL278C","YPL278C",4
"YPL156C","YPL156C",4
"YPR192W","YPR192W",6
"YMR180C","YMR180C",1
"YMR096W","YMR096W",3
"YMR011W","YMR011W",6
"YMR040W","YMR040W",1
"YMR305C","YMR305C",4
"YMR315W.A","YMR315W.A",1
"YMR316W","YMR316W",4
"YML016C","YML016C",4
