"","RNA_S6614Nr10.bam","RNA_S6614Nr11.bam","RNA_S6614Nr12.bam","RNA_S6614Nr13.bam","RNA_S6614Nr14.bam","RNA_S6614Nr15.bam","RNA_S6614Nr16.bam","RNA_S6614Nr17.bam","RNA_S6614Nr18.bam","RNA_S6614Nr1.bam","RNA_S6614Nr2.bam","RNA_S6614Nr3.bam","RNA_S6614Nr4.bam","RNA_S6614Nr5.bam","RNA_S6614Nr6.bam","RNA_S6614Nr7.bam","RNA_S6614Nr8.bam","RNA_S6614Nr9.bam"
"YDL246C",4.12537957020801,0,0,3.72643127559872,0,0,0,3.93224025337328,6.92273895956562,1.63617210499139,9.20453865673637,0,0.786375173841937,0,1.81537056505363,0,1.25380331853982,0
"YDL243C",391.911059169761,394.012593176441,383.484882894957,463.940693812041,391.649332808372,226.242126451642,312.521550527636,350.952442613566,205.37458913378,298.601409160929,374.875756201627,324.138498524655,325.559321970562,372.740674498786,390.30467148653,303.178409244206,341.034502642831,305.358613251772
"YDR387C",1889.42384315527,2172.29111611493,1950.82902099873,1917.24889129554,1657.2812371522,1667.48826532877,2055.34246003942,2232.52940385268,1772.2211736488,1590.35928605163,2106.16579990958,1417.18385030994,1483.88995303973,1264.39483702529,1878.9085348305,1910.42553904544,1960.32148853701,1832.15167951063
"YDL094C",5.50050609361068,5.69656761218951,8.01710556574822,3.72643127559872,26.2851901213673,5.98524144051964,14.8276648060557,12.7797808234632,13.8454779191312,21.2702373648881,22.5929585210802,13.4515307286002,24.3776303891,63.9506059189093,8.16916754274131,11.0429221910141,11.2842298668584,13.2764614457292
"YDR438W",793.448004003341,865.878277052805,738.909896309794,967.008916017868,852.954419438367,618.873964949731,776.741517917228,929.974819922782,575.741123470541,632.380518579174,988.232741236877,504.215442149464,683.360026068643,639.506059189093,658.979515114466,807.137221961396,825.629485258471,713.308064947815
"YDR523C",55.0050609361068,46.521968832881,65.4730287869438,54.9648613150811,74.9127918458967,124.493021962808,47.9047632195647,36.3732223437029,91.1493963009473,42.5404747297762,23.4297347626017,59.8810077595749,50.3280111258839,71.2592465953561,34.4920407360189,31.1209625383125,20.687754755907,94.1421811606253
"YDR542W",5.50050609361068,7.59542348291934,8.01710556574822,11.1792938267962,10.5140760485469,14.3645794572471,1.14058960046583,5.89836038005993,9.23031861275416,0,6.6942099321719,5.64096449909039,12.582002781471,3.65432033822339,2.72305584758044,3.01170605209476,8.14972157050882,12.0695104052084
"YDR492W",409.787703973996,628.521293211576,609.300022996865,1232.51714440428,492.847314775636,854.692477706204,1244.38325410822,1128.55295271813,1036.10326428165,829.539257230637,572.354949200698,798.413436794331,1047.45173155746,668.74062189488,975.761678716324,1210.70583294209,1029.99942618046,1077.80727918511
"YDR018C",380.91004698254,297.170943769219,203.100007665622,103.408467897865,269.423198744014,112.522539081769,63.8730176260863,135.662288741378,117.686562312616,111.259703139415,278.646488426655,124.101218979988,55.8326373427775,261.283904182972,236.905858739498,90.3511815628428,208.75825253688,89.3143769985419
"YDL189W",1611.64828542793,1864.6764650567,1916.08823021383,2826.49812254163,1930.64721441442,1955.97690276182,2387.25403377497,2719.14413520763,2046.82315237824,2026.39915203184,2374.77097343798,1832.01170116612,2245.88749649257,1766.86388353101,2044.10725625038,2549.9111241069,2639.25598552632,2201.47869791001
"YDR508C",7226.28988048103,7009.62644679919,13190.8110241777,7813.39477711162,5203.15338452465,12924.5303666581,7741.18161836156,7939.19307156066,13018.2106134632,10255.5267540861,6010.56374284885,11231.594238035,6623.63808927063,4609.9251066688,13806.8008325153,9628.42424854695,7875.76554540787,16371.0839136246
"YDR462W",570.677507212108,579.1510405726,609.300022996865,541.264142780714,461.305086629995,622.465109814042,396.925180962108,468.919650214764,566.510804857787,792.72538486833,676.115203149362,978.924300765224,550.462621689356,496.987565998381,919.485191199661,479.865164300432,842.555830058758,794.173784662711
"YDR175C",981.840337709506,1008.29246735754,864.51121683985,980.051425482464,934.438508814606,955.244533906934,848.598662746575,1019.43328568702,830.728675147875,1398.92714976764,1307.04448925656,1480.53622083818,931.068205828853,944.641807430746,1507.66525427704,948.687406409849,1319.62799276316,1377.13113723427
"YDR186C",2539.85868872473,2447.62521737076,2669.69615339416,3602.52743568506,2608.8051195457,2633.50623382864,3178.82321649826,3042.57089604758,2743.71220764117,2588.42427009639,2742.11574346592,2728.05721582933,2952.05240260263,2437.431665595,2667.6870453463,2995.64361981692,2912.585108968,2604.60034544397
