sample	condition	substance	conc
RNA_S6614Nr10.bam	DL0500	DL	5
RNA_S6614Nr11.bam	DL0500	DL	5
RNA_S6614Nr12.bam	DL0500	DL	5
RNA_S6614Nr13.bam	DL4500	DL	45
RNA_S6614Nr14.bam	DL4500	DL	45
RNA_S6614Nr15.bam	DL4500	DL	45
RNA_S6614Nr16.bam	LL4500	LL	45
RNA_S6614Nr17.bam	LL4500	LL	45
RNA_S6614Nr18.bam	LL4500	LL	45
RNA_S6614Nr1.bam	control	control	0
RNA_S6614Nr2.bam	control	control	0
RNA_S6614Nr3.bam	control	control	0
RNA_S6614Nr4.bam	DL0005	DL	0.05
RNA_S6614Nr5.bam	DL0005	DL	0.05
RNA_S6614Nr6.bam	DL0005	DL	0.05
RNA_S6614Nr7.bam	DL0050	DL	0.5
RNA_S6614Nr8.bam	DL0050	DL	0.5
RNA_S6614Nr9.bam	DL0050	DL	0.5
