# Program:featureCounts v2.0.4; Command:"/media/secondary/apps/subread-2.0.4-Linux-x86_64/bin/featureCounts" "-a" "../1_refs/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-s" "2" "-T" "6" "-p" "-o" "allSamples.featureCounts.txt" "RNA_S6614Nr10.bam" "RNA_S6614Nr11.bam" "RNA_S6614Nr12.bam" "RNA_S6614Nr13.bam" "RNA_S6614Nr14.bam" "RNA_S6614Nr15.bam" "RNA_S6614Nr16.bam" "RNA_S6614Nr17.bam" "RNA_S6614Nr18.bam" "RNA_S6614Nr1.bam" "RNA_S6614Nr2.bam" "RNA_S6614Nr3.bam" "RNA_S6614Nr4.bam" "RNA_S6614Nr5.bam" "RNA_S6614Nr6.bam" "RNA_S6614Nr7.bam" "RNA_S6614Nr8.bam" "RNA_S6614Nr9.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA_S6614Nr10.bam	RNA_S6614Nr11.bam	RNA_S6614Nr12.bam	RNA_S6614Nr13.bam	RNA_S6614Nr14.bam	RNA_S6614Nr15.bam	RNA_S6614Nr16.bam	RNA_S6614Nr17.bam	RNA_S6614Nr18.bam	RNA_S6614Nr1.bam	RNA_S6614Nr2.bam	RNA_S6614Nr3.bam	RNA_S6614Nr4.bam	RNA_S6614Nr5.bam	RNA_S6614Nr6.bam	RNA_S6614Nr7.bam	RNA_S6614Nr8.bam	RNA_S6614Nr9.bam
YDL246C	IV	8683	9756	-	1074	3	0	0	4	0	0	0	4	6	2	11	0	1	0	2	0	2	0
YDL243C	IV	17577	18566	-	990	285	415	287	498	298	189	274	357	178	365	448	747	414	204	430	302	544	253
YDR387C	IV	1248154	1249821	-	1668	1374	2288	1460	2058	1261	1393	1802	2271	1536	1944	2517	3266	1887	692	2070	1903	3127	1518
YDL094C	IV	289572	290081	-	510	4	6	6	4	20	5	13	13	12	26	27	31	31	35	9	11	18	11
YDR438W	IV	1338274	1339386	+	1113	577	912	553	1038	649	517	681	946	499	773	1181	1162	869	350	726	804	1317	591
YDR523C	IV	1485566	1487038	-	1473	40	49	49	59	57	104	42	37	79	52	28	138	64	39	38	31	33	78
YDR542W	IV	1523249	1523611	+	363	4	8	6	12	8	12	1	6	8	0	8	13	16	2	3	3	13	10
YDR492W	IV	1434924	1435874	+	951	298	662	456	1323	375	714	1091	1148	898	1014	684	1840	1332	366	1075	1206	1643	893
YDR018C	IV	482670	483860	-	1191	277	313	152	111	205	94	56	138	102	136	333	286	71	143	261	90	333	74
YDL189W	IV	122216	123589	+	1374	1172	1964	1434	3034	1469	1634	2093	2766	1774	2477	2838	4222	2856	967	2252	2540	4210	1824
YDR508C	IV	1466453	1468444	-	1992	5255	7383	9872	8387	3959	10797	6787	8076	11283	12536	7183	25884	8423	2523	15211	9591	12563	13564
YDR462W	IV	1386073	1386516	+	444	415	610	456	581	351	520	348	477	491	969	808	2256	700	272	1013	478	1344	658
YDR175C	IV	813193	814152	-	960	714	1062	647	1052	711	798	744	1037	720	1710	1562	3412	1184	517	1661	945	2105	1141
YDR186C	IV	832859	835492	-	2634	1847	2578	1998	3867	1985	2200	2787	3095	2378	3164	3277	6287	3754	1334	2939	2984	4646	2158
YDR150W	IV	755628	763874	+	8247	4274	3411	2351	4239	3055	2979	3669	6195	3951	3486	5486	7447	3736	1329	2896	3635	5258	2457
YDR243C	IV	948518	950284	-	1767	165	211	157	343	137	172	235	284	184	307	258	626	308	98	294	240	398	213
YDL182W	IV	133437	134723	+	1287	1519	2025	1653	16696	3178	2718	10648	5338	2878	13455	3303	9792	14385	1212	3948	9189	7443	3511
YDR362C	IV	1196679	1198697	-	2019	965	1461	952	1437	938	1099	1160	1492	986	1366	1519	2651	1857	682	1190	1387	1873	782
YDR232W	IV	927452	929098	+	1647	1236	2098	1396	3629	1095	1453	2144	2568	1346	2478	2290	5773	3601	876	2380	2044	3805	1717
YDR158W	IV	770357	771454	+	1098	14082	20284	15489	29903	16384	21045	30449	27329	24196	39883	27856	76723	67291	18080	29313	35545	49392	22115
YDR439W	IV	1339676	1340719	+	1044	453	739	428	781	528	454	567	811	446	931	1086	1349	686	234	650	637	1183	530
YDL206W	IV	90176	92464	+	2289	1809	2491	1512	1953	2110	1600	1480	2258	1786	1932	3227	2867	1935	1262	1969	1983	2347	1406
YDR125C	IV	701397	702758	-	1362	258	328	196	274	296	219	257	327	221	401	357	806	292	174	415	305	467	191
YDR338C	IV	1147379	1149466	-	2088	849	1134	768	984	738	811	715	916	850	1144	1118	2094	1040	479	1203	925	1586	711
YDR526C	IV	1491075	1491545	-	471	0	0	1	0	0	2	2	4	0	2	4	5	1	2	2	1	2	2
YDR533C	IV	1501447	1502160	-	714	7161	9696	6711	13387	7624	9875	6379	7434	5200	7967	9321	15717	10928	3554	7968	5314	11042	4799
YDR272W	IV	1009010	1009834	+	825	11179	9989	5897	4482	12895	6797	5132	5751	6660	6426	9910	12426	7999	8952	7008	5863	10216	4862
YDR197W	IV	851228	852397	+	1170	637	788	636	822	603	662	612	760	671	1189	1191	2209	1011	390	1159	780	1350	705
YDR512C	IV	1470500	1471063	-	564	6180	6585	4197	2923	8693	5491	3401	3694	5139	5046	6010	9200	6221	6404	4708	3675	7151	4042
YDR489W	IV	1431012	1431896	+	885	167	266	268	333	193	303	239	286	279	610	308	972	442	103	457	345	663	362
YDR299W	IV	1059627	1061231	+	1605	181	395	296	756	203	510	520	598	580	661	157	1021	793	145	354	390	471	455
YDL015C	IV	426002	426934	-	933	5780	11588	8909	9063	6114	9085	8407	10459	9290	10554	10755	20077	12108	4940	10751	9894	12608	9787
YDR304C	IV	1071880	1072557	-	678	9188	15114	11483	10748	10959	11703	10090	12866	12349	11379	15850	24591	13408	10603	14810	11908	23268	12442
YDR271C	IV	1008395	1008766	-	372	7	8	4	0	7	1	3	4	5	17	12	5	2	1	14	14	19	8
YDL181W	IV	135179	135436	+	258	2431	2535	1487	1196	2262	1637	982	1467	1394	2299	3623	4522	2134	1895	2614	1146	3369	1799
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	1368	2446	2004	2570	1624	1907	2200	2746	2080	2225	2693	3513	2718	1313	2321	2233	2867	1943
YDR085C	IV	614288	616150	-	1863	2567	2035	1076	964	2122	986	545	909	765	1108	2770	3028	791	1123	1800	669	2473	575
YDL097C	IV	285391	286695	-	1305	5607	7228	3613	5774	4852	3888	3536	5416	3749	6310	7898	15375	7926	3877	6553	4372	10792	3665
YDL139C	IV	211375	212046	-	672	111	251	143	293	120	226	188	245	192	455	312	847	339	76	398	240	482	330
YDR200C	IV	854279	856093	-	1815	1839	2120	1463	1663	1927	1715	1679	1696	1871	2358	2384	4114	3289	1237	1991	1821	2679	1449
YDR191W	IV	842337	843449	+	1113	182	278	185	307	271	222	308	369	363	365	417	1040	437	278	368	276	681	303
YDR451C	IV	1361120	1362181	-	1062	792	1765	988	2078	990	1316	1821	1784	1176	1501	1682	2807	2425	738	1287	1770	2475	1217
YDR469W	IV	1399015	1399542	+	528	15409	16672	11935	8317	25392	15056	17308	10074	13496	10589	16279	15166	14343	22332	8337	15926	17781	8596
YDR470C	IV	1399706	1401214	-	1509	585	834	524	765	568	634	543	750	573	1330	1073	2603	1087	361	1195	676	1371	748
YDR105C	IV	665349	666770	-	1422	2350	4678	3150	4429	2525	3415	3416	4663	3387	3937	5050	7312	4696	1844	4757	4482	6960	3686
YDR483W	IV	1421157	1422485	+	1329	6386	14833	12669	12889	6231	11519	9772	13838	11030	9911	11939	17819	11268	4946	11745	11519	16992	11301
YDL123W	IV	241418	241840	+	423	303	716	500	762	270	383	407	613	366	643	701	1142	525	191	679	501	919	421
YDL199C	IV	101290	103353	-	2064	1064	1029	731	585	618	551	348	666	557	1063	1166	2057	646	337	1281	520	1466	643
YDR505C	IV	1456695	1459220	-	2526	2442	2895	1488	2672	2349	1908	2051	2810	1992	3168	3148	5769	3776	1346	2983	2369	3336	1830
YDL045W-A	IV	372248	372535	+	288	1255	2049	1134	1493	1505	1281	1337	1719	1094	1904	2735	3796	1829	1026	1823	1477	3626	1375
YDL045C	IV	372688	373608	-	921	2110	3250	1835	2456	1752	1678	1547	2217	1561	2602	3240	4450	2313	1224	2554	1675	3812	1908
YDR361C	IV	1195412	1196263	-	852	643	792	591	1092	509	983	1095	859	906	1521	589	2006	1649	383	870	1190	1096	897
YDR406W-A	IV	1283799	1284044	+	246	16	11	7	8	25	17	6	16	9	11	15	41	23	18	16	11	12	13
YDR199W	IV	854175	854540	+	366	0	0	4	0	2	0	4	0	2	10	0	4	0	2	0	4	2	4
YDR266C	IV	1000104	1002023	-	1920	1011	1495	1124	1674	1180	1206	1411	1758	1565	1834	1671	3845	2329	935	1534	1742	2232	1409
YDL242W	IV	18959	19312	+	354	4	3	0	13	6	0	1	12	4	0	9	7	3	0	0	4	3	0
YDR002W	IV	453045	453650	+	606	42467	39415	32436	25090	58585	46021	40222	22819	41198	30600	25434	69256	61088	45379	24258	33000	33751	23577
YDR214W	IV	892875	893927	+	1053	7671	15795	13389	10071	6967	11282	9353	14853	12447	15580	12885	55290	19898	4158	29993	14421	27482	15076
YDR130C	IV	715747	716622	-	876	734	927	721	798	798	752	835	937	751	1408	1196	2527	1215	466	1202	881	1571	843
