"","ORF","ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YAL037W","11372_at","hypothetical protein","YAL037W","851194",NA,NA,NA,NA,NA,NA,NA,"","","Chromosome I, NC_001133.9 (74020..74823)","molecular_function","biological_process","cellular_component","GO:0003674","GO:0008150","GO:0005575",-1.09091740548032,5.37143674945379,-5.11844888154226,0.000491887559408488,0.00671960705450825,-0.19741357022891,293.823210564985,1.11247694232987,0.302004297129863,3.68364607027928,0.000229921429745711,0.0214678155885809
"2","YBL015W","7392_at","acetyl-CoA hydrolase","ACH1","852266",NA,NA,NA,NA,NA,NA,NA,"","","Chromosome II, NC_001134.8 (194122..195702)","acetate CoA-transferase activity///acetyl-CoA hydrolase activity///acetyl-CoA hydrolase activity///catalytic activity///hydrolase activity","acetate metabolic process///acetyl-CoA metabolic process","cytoplasm///cytosol///mitochondrion","GO:0008775///GO:0003986///GO:0003986///GO:0003824///GO:0016787","GO:0006083///GO:0006084","GO:0005737///GO:0005829///GO:0005739",-1.4092578917614,6.50973243840323,-3.68845156792185,0.00438297969722733,0.0288262825503117,-2.46886439139128,1338.28433294664,-1.08798941492031,0.285118063521569,-3.81592594128294,0.000135673195786072,0.0180211227839429
"3","YBR126C","7217_at","alpha,alpha-trehalose-phosphate synthase (UDP-forming) TPS1","TPS1","852423",NA,NA,NA,NA,NA,NA,NA,"","","Chromosome II, NC_001134.8 (488905..490392, complement)","contributes_to alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity///alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity///contributes_to alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity///catalytic activity///transferase activity///transferase activity, transferring glycosyl groups","cellular carbohydrate metabolic process///cellular carbohydrate metabolic process///cellular response to desiccation///cellular response to heat///cellular response to oxidative stress///trehalose biosynthetic process///trehalose biosynthetic process///trehalose biosynthetic process","alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)///alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)///alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)///alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)///cytoplasm///cytoplasm","contributes_to GO:0003825///GO:0003825///contributes_to GO:0003825///GO:0003824///GO:0016740///GO:0016757","GO:0044262///GO:0044262///GO:0071465///GO:0034605///GO:0034599///GO:0005992///GO:0005992///GO:0005992","GO:0005946///GO:0005946///GO:0005946///GO:0005946///GO:0005737///GO:0005737",-1.33237127260455,8.39049658218721,-8.69380362492283,6.76347552822549e-06,0.000517017809641237,4.27234581835497,15357.8267100921,-1.21136507183049,0.365691958539963,-3.31252860103051,0.00092456671960627,0.0428649515357615
"4","YFL031W","3942_at","transcription factor HAC1","HAC1","850513",NA,NA,NA,NA,NA,NA,NA,"","","Chromosome VI, NC_001138.5 (75179..76147)","DNA binding///RNA polymerase II transcription factor activity, sequence-specific DNA binding///RNA polymerase II transcription factor activity, sequence-specific DNA binding///sequence-specific DNA binding///sequence-specific DNA binding///transcription factor activity, sequence-specific DNA binding","endoplasmic reticulum unfolded protein response///negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle///negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response///regulation of transcription, DNA-templated///response to endoplasmic reticulum stress///response to unfolded protein///transcription, DNA-templated","nucleus///nucleus","GO:0003677///GO:0000981///GO:0000981///GO:0043565///GO:0043565///GO:0003700","GO:0030968///GO:0010674///GO:0010674///GO:0045944///GO:0045944///GO:0006990///GO:0006355///GO:0034976///GO:0006986///GO:0006351","GO:0005634///GO:0005634",1.11626492687629,8.51378663349546,4.56581791121846,0.00110724632073202,0.0114354143822224,-1.04407461111843,44436.0806926712,1.02379999546099,0.276238335187008,3.70621982922064,0.000210375717926628,0.0206448704525331
"5","YFL031W","5318_s_at","transcription factor HAC1","HAC1","850513",NA,NA,NA,NA,NA,NA,NA,"","","Chromosome VI, NC_001138.5 (75179..76147)","DNA binding///RNA polymerase II transcription factor activity, sequence-specific DNA binding///RNA polymerase II transcription factor activity, sequence-specific DNA binding///sequence-specific DNA binding///sequence-specific DNA binding///transcription factor activity, sequence-specific DNA binding","endoplasmic reticulum unfolded protein response///negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle///negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response///regulation of transcription, DNA-templated///response to endoplasmic reticulum stress///response to unfolded protein///transcription, DNA-templated","nucleus///nucleus","GO:0003677///GO:0000981///GO:0000981///GO:0043565///GO:0043565///GO:0003700","GO:0030968///GO:0010674///GO:0010674///GO:0045944///GO:0045944///GO:0006990///GO:0006355///GO:0034976///GO:0006986///GO:0006351","GO:0005634///GO:0005634",1.81786120485731,10.5255465559869,10.1980147084629,1.64779627929209e-06,0.000216441522544761,5.71926440448171,44436.0806926712,1.02379999546099,0.276238335187008,3.70621982922064,0.000210375717926628,0.0206448704525331
"6","YGL009C","5008_at","3-isopropylmalate dehydratase LEU1","LEU1","852875",NA,NA,NA,NA,NA,NA,NA,"","","Chromosome VII, NC_001139.9 (476313..478652, complement)","3-isopropylmalate dehydratase activity///3-isopropylmalate dehydratase activity///4 iron, 4 sulfur cluster binding///iron-sulfur cluster binding///lyase activity///metal ion binding","branched-chain amino acid biosynthetic process///cellular amino acid biosynthetic process///leucine biosynthetic process///leucine biosynthetic process///metabolic process","3-isopropylmalate dehydratase complex///cytosol","GO:0003861///GO:0003861///GO:0051539///GO:0051536///GO:0016829///GO:0046872","GO:0009082///GO:0008652///GO:0009098///GO:0009098///GO:0008152","GO:0009316///GO:0005829",-1.25450784450708,9.28494815648216,-5.70574283651408,0.000217859146486207,0.00411286315815864,0.654494886265358,10916.3729886397,-1.52318463157035,0.291433179484116,-5.22653129017991,1.72719601122176e-07,0.000169495501901228
"7","YGL259W","5252_at","Yps5p","YPS5","852632",NA,NA,NA,NA,NA,NA,NA,"","","Chromosome VII, NC_001139.9 (8470..8967)","aspartic-type endopeptidase activity///aspartic-type endopeptidase activity///aspartic-type endopeptidase activity","biological_process///fungal-type cell wall organization///protein catabolic process///proteolysis///proteolysis","anchored component of external side of plasma membrane///cellular_component///extracellular region///fungal-type cell wall","GO:0004190///GO:0004190///GO:0004190","GO:0008150///GO:0031505///GO:0030163///GO:0006508///GO:0006508","GO:0031362///GO:0005575///GO:0005576///GO:0009277",-1.48778305667152,3.74851358355666,-6.9566661518114,4.48854027634932e-05,0.00155613853595665,2.30660686250149,40.4443811486481,-1.56728859332699,0.417753882747652,-3.75170323497323,0.000175637292043421,0.0195162221927034
"8","YGL259W","5253_g_at","aspartyl protease///Yps5p","YPS6///YPS5","854857///852632",NA,NA,NA,NA,NA,NA,NA,"","","Chromosome IX, NC_001141.2 (430498..432111, complement)///Chromosome VII, NC_001139.9 (8470..8967)","aspartic-type endopeptidase activity///aspartic-type endopeptidase activity///aspartic-type endopeptidase activity///hydrolase activity///peptidase activity///aspartic-type endopeptidase activity///aspartic-type endopeptidase activity///aspartic-type endopeptidase activity","fungal-type cell wall organization///protein catabolic process///proteolysis///proteolysis///biological_process///fungal-type cell wall organization///protein catabolic process///proteolysis///proteolysis","anchored component of external side of plasma membrane///anchored component of membrane///extracellular region///fungal-type cell wall///membrane///plasma membrane///anchored component of external side of plasma membrane///cellular_component///extracellular region///fungal-type cell wall","GO:0004190///GO:0004190///GO:0004190///GO:0016787///GO:0008233///GO:0004190///GO:0004190///GO:0004190","GO:0031505///GO:0030163///GO:0006508///GO:0006508///GO:0008150///GO:0031505///GO:0030163///GO:0006508///GO:0006508","GO:0031362///GO:0031225///GO:0005576///GO:0009277///GO:0016020///GO:0005886///GO:0031362///GO:0005575///GO:0005576///GO:0009277",-1.81941911592815,4.92614182924906,-7.60771152313742,2.1273203428122e-05,0.00103871149304014,3.08477595576476,40.4443811486481,-1.56728859332699,0.417753882747652,-3.75170323497323,0.000175637292043421,0.0195162221927034
"9","YGR138C","4884_i_at","spermine transporter","TPO2","853039",NA,NA,NA,NA,NA,NA,NA,"","","Chromosome VII, NC_001139.9 (763762..765606, complement)","antiporter activity///spermine transmembrane transporter activity","spermine transport///transmembrane transport///transport","cell periphery///fungal-type vacuole membrane///integral component of membrane///integral component of membrane///membrane///plasma membrane///plasma membrane","GO:0015297///GO:0000297","GO:0000296///GO:0055085///GO:0006810","GO:0071944///GO:0000329///GO:0016021///GO:0016021///GO:0016020///GO:0005886///GO:0005886",2.79149188260109,6.212501885252,10.7841682341244,9.96004472264792e-07,0.00015743623234477,6.22930664616484,9808.78950513136,2.5286191490162,0.584788996905028,4.32398550998534,1.53235365455563e-05,0.00410113559910161
"10","YHL021C","4541_at","Aim17p","AIM17","856365",NA,NA,NA,NA,NA,NA,NA,"","","Chromosome VIII, NC_001140.6 (64462..65859, complement)","dioxygenase activity///metal ion binding///molecular_function///oxidoreductase activity","mitochondrion organization///oxidation-reduction process","mitochondrion///mitochondrion","GO:0051213///GO:0046872///GO:0003674///GO:0016491","GO:0007005///GO:0055114","GO:0005739///GO:0005739",-1.55807087249643,5.19501639905442,-8.10865190297585,1.23581399005752e-05,0.000749817326360453,3.64885029948535,4293.75245807794,-2.14322908453856,0.561470460365939,-3.81717158039215,0.000134990297040274,0.0180211227839429
